param nu := 1;
param m := 1000;
param n := 3;

param A_train:
	1	2	3 :=
	1	-5.852	10.897	-8.042
	2	-3.223	14.265	-10.259
	3	3.453	15.682	13.346
	4	11.185	13.818	7.316
	5	5.601	1.836	12.375
	6	5.937	6.988	-1.495
	7	1.414	14.986	-11.289
	8	3.264	16.972	6.850
	9	11.639	18.332	-3.095
	10	-3.414	11.839	7.798
	11	-1.432	2.531	-10.654
	12	3.810	8.641	13.549
	13	11.982	6.122	5.839
	14	7.353	12.115	11.247
	15	-9.486	7.834	0.084
	16	5.052	3.764	-2.453
	17	6.576	17.031	1.350
	18	-9.545	13.481	-0.540
	19	5.766	1.199	3.837
	20	7.557	16.874	11.396
	21	-9.523	13.544	-0.881
	22	-2.622	0.002	-10.571
	23	-6.241	2.057	5.865
	24	11.481	0.600	-4.520
	25	12.480	5.499	0.458
	26	12.267	12.251	3.665
	27	12.707	5.791	2.752
	28	-2.730	12.469	-10.322
	29	0.308	14.832	-4.524
	30	0.635	15.084	-4.381
	31	6.312	0.368	0.431
	32	12.155	19.242	-3.253
	33	-8.842	4.870	-4.440
	34	2.146	14.204	-11.024
	35	-7.572	20.269	5.328
	36	-5.991	16.415	6.676
	37	-8.023	14.378	3.940
	38	2.712	18.402	-4.656
	39	0.338	17.190	7.866
	40	6.315	10.117	1.408
	41	7.729	15.597	-8.986
	42	-6.713	2.817	-7.849
	43	4.601	5.839	-3.473
	44	2.654	16.292	-4.716
	45	12.136	20.226	5.469
	46	5.098	10.876	5.301
	47	5.335	12.168	-2.265
	48	-9.558	5.055	-1.030
	49	-9.607	5.711	-1.192
	50	1.032	5.298	7.708
	51	2.834	17.403	6.889
	52	12.181	0.471	4.549
	53	-8.212	11.624	-5.265
	54	12.871	5.520	0.608
	55	5.127	6.965	-2.566
	56	11.286	19.897	-5.178
	57	12.654	19.635	2.830
	58	9.262	8.841	9.701
	59	5.599	6.037	-2.456
	60	3.948	19.616	-4.019
	61	-6.339	15.367	5.667
	62	9.859	3.813	-6.919
	63	10.009	4.798	8.795
	64	11.696	6.218	5.259
	65	9.648	16.312	-6.790
	66	-0.508	13.403	-10.997
	67	-9.333	2.463	1.291
	68	-6.323	6.781	-8.441
	69	-8.304	18.435	-5.160
	70	11.019	5.333	-4.332
	71	-2.837	1.140	-10.747
	72	-5.938	2.769	6.489
	73	-4.195	10.372	-9.398
	74	6.030	8.418	2.500
	75	7.235	12.725	11.859
	76	6.265	8.704	0.504
	77	10.752	5.420	7.589
	78	-9.405	2.213	-1.225
	79	5.719	13.380	3.722
	80	3.295	12.025	-10.889
	81	1.996	4.565	13.946
	82	2.709	0.749	6.768
	83	2.613	19.988	-4.764
	84	1.709	19.263	13.810
	85	1.107	16.215	-4.651
	86	-9.461	14.436	-0.412
	87	-6.399	0.448	5.787
	88	-7.619	20.214	-6.596
	89	12.049	10.640	-2.678
	90	5.439	13.697	4.389
	91	-8.991	20.201	-2.899
	92	9.766	20.078	-6.655
	93	3.813	14.187	-4.118
	94	0.254	20.210	14.173
	95	2.488	1.658	7.049
	96	-5.647	16.744	6.274
	97	-8.855	13.504	-3.538
	98	5.464	18.981	4.113
	99	-5.811	2.423	6.277
	100	6.392	20.826	0.464
	101	6.294	15.408	-0.647
	102	5.943	0.506	3.264
	103	9.279	10.604	-7.003
	104	10.041	0.195	-6.421
	105	-9.541	17.185	-0.652
	106	-0.862	0.970	7.877
	107	3.371	17.478	-10.806
	108	11.265	20.631	6.730
	109	5.635	7.619	4.095
	110	9.334	1.245	9.874
	111	5.000	11.695	-2.707
	112	4.744	9.603	-3.285
	113	9.527	5.009	-7.278
	114	-8.009	16.285	4.102
	115	3.056	14.826	-4.337
	116	5.937	10.878	3.609
	117	5.317	15.857	4.721
	118	5.158	7.690	4.588
	119	1.976	13.389	-4.378
	120	-9.107	0.958	-3.283
	121	4.194	15.678	13.267
	122	0.007	12.130	7.964
	123	7.215	7.957	11.326
	124	5.112	20.864	-2.359
	125	5.499	15.941	-1.976
	126	-7.860	14.838	3.865
	127	7.894	12.590	-9.009
	128	-4.197	16.728	7.346
	129	-9.070	17.182	1.036
	130	-4.332	20.476	-9.610
	131	-9.452	7.658	-0.409
	132	-8.952	10.591	-3.602
	133	4.190	6.038	-3.701
	134	5.759	0.778	-2.071
	135	4.987	0.166	5.037
	136	-8.902	8.072	2.653
	137	-9.476	17.821	-2.789
	138	5.884	8.759	2.720
	139	-5.089	6.605	6.888
	140	6.358	1.104	-9.688
	141	5.977	11.113	-9.808
	142	11.979	1.635	5.610
	143	-3.266	18.550	-10.205
	144	5.465	8.067	12.792
	145	-7.393	18.084	-7.170
	146	-2.526	10.156	7.727
	147	4.813	12.060	-2.805
	148	-9.146	0.072	-3.314
	149	2.973	17.039	-4.778
	150	0.131	21.183	-4.577
	151	-7.555	12.353	-6.500
	152	12.004	7.988	4.713
	153	0.015	6.619	7.952
	154	1.407	7.801	14.043
	155	4.448	11.153	-10.631
