0.083 0.958 0.053 0.068   1.0*
0.265 0.453 0.948 0.951   1.0
0.321 0.267 0.741 0.406   -1.0
0.132 0.595 0.491 0.263   -1.0
0.344 0.742 0.130 0.852   1.0
0.433 0.600 0.060 0.721   -1.0
0.096 0.804 0.023 0.149   -1.0
0.993 0.414 0.325 0.941   1.0
0.478 0.262 0.632 0.219   -1.0
0.869 0.351 0.263 0.360   -1.0
0.003 0.704 0.356 0.133   -1.0
0.841 0.566 0.155 0.901   1.0
0.221 0.996 0.091 0.244   -1.0
0.963 0.237 0.559 0.288   1.0
0.924 0.766 0.440 0.556   -1.0*
0.109 0.426 0.336 0.372   -1.0
0.951 0.376 0.489 0.307   1.0
0.045 0.148 0.075 0.200   -1.0
0.362 0.420 0.045 0.453   -1.0
0.190 0.416 0.901 0.749   1.0
0.079 0.674 0.470 0.519   -1.0
0.455 0.628 0.656 0.791   1.0
0.441 0.742 0.376 0.930   1.0
0.885 0.974 0.198 0.961   1.0
0.247 0.323 0.595 0.292   -1.0
0.259 0.482 0.192 0.159   -1.0
0.896 0.238 0.905 0.366   1.0
0.136 0.821 0.385 0.791   1.0
0.386 0.232 0.354 0.762   -1.0
0.404 0.647 0.136 0.602   -1.0
0.311 0.849 0.931 0.905   1.0
0.708 0.164 0.624 0.900   1.0
0.855 0.796 0.561 0.761   1.0
0.318 0.897 0.982 0.703   1.0
0.594 0.088 0.920 0.949   1.0
0.082 0.353 0.498 0.219   1.0*
0.106 0.529 0.805 0.037   -1.0
0.946 0.745 0.598 0.570   1.0
0.922 0.425 0.440 0.483   1.0
0.602 0.800 0.082 0.584   1.0
0.770 0.178 0.592 0.690   1.0
0.442 0.773 0.480 0.940   -1.0*
0.436 0.046 0.521 0.241   -1.0
0.955 0.187 0.828 0.554   1.0
0.472 0.475 0.182 0.913   -1.0*
0.368 0.515 0.758 0.450   1.0
0.261 0.220 0.277 0.853   -1.0
0.404 0.295 0.683 0.885   1.0
0.675 0.321 0.281 0.195   -1.0
0.364 0.150 0.749 0.192   -1.0
0.505 0.664 0.179 0.687   1.0
0.137 0.054 0.091 0.895   -1.0
0.190 0.157 0.725 0.467   -1.0
0.636 0.872 0.305 0.319   1.0
0.540 0.994 0.077 0.821   1.0
0.639 0.185 0.339 0.387   -1.0
0.043 0.893 0.041 0.223   -1.0
0.618 0.360 0.634 0.709   1.0
0.138 0.899 0.412 0.863   1.0
0.421 0.499 0.238 0.726   -1.0
0.994 0.266 0.811 0.072   1.0
0.000 0.711 0.272 0.339   -1.0
0.648 0.383 0.991 0.689   1.0
0.570 0.307 0.965 0.204   1.0
0.220 0.342 0.915 0.632   1.0
0.281 0.053 0.704 0.519   -1.0
0.521 0.514 0.045 0.332   -1.0
0.131 0.332 0.296 0.403   -1.0
0.394 0.051 0.054 0.385   -1.0
0.660 0.955 0.047 0.625   1.0
0.063 0.845 0.501 0.978   1.0
0.706 0.259 0.529 0.409   -1.0
0.308 0.931 0.292 0.353   -1.0
0.877 0.484 0.596 0.173   1.0
0.267 0.567 0.938 0.322   -1.0*
0.679 0.981 0.906 0.726   1.0
0.064 0.790 0.451 0.565   -1.0
0.928 0.271 0.027 0.457   -1.0
0.805 0.765 0.611 0.097   1.0
0.874 0.974 0.602 0.470   1.0
0.488 0.737 0.713 0.427   1.0
0.665 0.105 0.040 0.570   -1.0
0.647 0.635 0.621 0.098   1.0
0.389 0.026 0.471 0.415   -1.0
0.151 0.220 0.248 0.762   -1.0
0.366 0.637 0.290 0.967   1.0
0.437 0.456 0.844 0.150   -1.0
0.902 0.814 0.988 0.943   1.0
0.819 0.590 0.020 0.440   -1.0
0.220 0.829 0.713 0.691   1.0
0.196 0.842 0.464 0.444   -1.0
0.781 0.810 0.241 0.072   -1.0
0.347 0.508 0.233 0.191   -1.0
0.115 0.093 0.473 0.103   -1.0
0.858 0.922 0.626 0.878   1.0
0.313 0.097 0.191 0.026   -1.0
0.435 0.222 0.630 0.900   1.0
0.234 0.681 0.477 0.475   -1.0
0.254 0.823 0.261 0.487   -1.0
0.920 0.603 0.107 0.392   1.0
0.143 0.250 0.628 0.768   -1.0
0.990 0.081 0.225 0.182   -1.0
0.013 0.617 0.330 0.644   -1.0
0.997 0.878 0.198 0.473   1.0
0.951 0.727 0.176 0.212   1.0
0.189 0.131 0.817 0.296   -1.0
0.522 0.438 0.774 0.150   -1.0
0.902 0.141 0.288 0.127   -1.0
0.395 0.141 0.939 0.725   1.0
0.456 0.722 0.662 0.654   1.0
0.016 0.604 0.922 0.192   -1.0
0.136 0.381 0.947 0.952   1.0
0.471 0.475 0.115 0.245   -1.0
0.321 0.147 0.765 0.609   -1.0
0.087 0.004 0.415 0.026   -1.0
0.199 0.482 0.450 0.862   -1.0
0.645 0.877 0.740 0.567   1.0
0.556 0.702 0.450 0.503   1.0
0.126 0.975 0.130 0.241   -1.0
0.754 0.562 0.367 0.520   1.0
0.642 0.607 0.175 0.057   -1.0
0.903 0.256 0.116 0.353   -1.0
0.252 0.998 0.995 0.992   1.0
0.064 0.548 0.267 0.514   -1.0
0.922 0.641 0.026 0.052   -1.0
0.246 0.806 0.444 0.613   1.0
0.615 0.255 0.933 0.789   1.0
0.567 0.693 0.568 0.683   1.0
0.686 0.935 0.044 0.681   1.0
0.609 0.746 0.475 0.876   1.0
0.527 0.798 0.901 0.553   1.0
0.782 0.799 0.656 0.226   1.0
0.982 0.841 0.667 0.915   1.0
0.979 0.482 0.323 0.547   1.0
0.369 0.233 0.101 0.413   -1.0
0.028 0.022 0.660 0.503   -1.0
0.920 0.030 0.696 0.820   1.0
0.546 0.602 0.381 0.202   -1.0
0.793 0.183 0.669 0.461   1.0
0.299 0.439 0.581 0.622   1.0*
0.746 0.991 0.219 0.847   1.0
0.133 0.875 0.425 0.792   1.0
0.323 0.712 0.409 0.019   -1.0
0.991 0.565 0.134 0.373   1.0
0.963 0.166 0.950 0.632   1.0
0.048 0.931 0.066 0.629   -1.0
0.052 0.375 0.544 0.271   -1.0
0.947 0.404 0.098 0.373   -1.0
0.477 0.696 0.908 0.886   1.0
0.440 0.877 0.280 0.574   1.0
0.047 0.536 0.416 0.997   -1.0
0.043 0.046 0.099 0.110   -1.0
0.652 0.162 0.050 0.196   -1.0
0.273 0.144 0.837 0.371   -1.0
0.033 0.848 0.213 0.940   1.0
0.928 0.380 0.611 0.208   -1.0*
0.861 0.255 0.491 0.277   -1.0
0.659 0.321 0.298 0.758   1.0
0.973 0.411 0.592 0.023   -1.0
0.025 0.296 0.751 0.861   -1.0
0.267 0.894 0.516 0.480   1.0
0.249 0.408 0.214 0.860   -1.0
0.169 0.721 0.872 0.659   -1.0*
0.124 0.318 0.319 0.423   -1.0
0.749 0.396 0.487 0.341   -1.0
0.094 0.366 0.716 0.845   1.0
0.383 0.112 0.121 0.899   -1.0
0.955 0.148 1.000 0.170   1.0
0.616 0.338 0.729 0.488   -1.0*
0.728 0.612 0.315 0.046   -1.0
0.392 0.795 0.431 0.878   1.0
0.850 0.972 0.502 0.566   1.0
0.729 0.950 0.929 0.850   1.0
0.521 0.805 0.997 0.521   -1.0*
0.005 0.137 0.313 0.735   -1.0
0.310 0.462 0.238 0.625   -1.0
0.273 0.017 0.304 0.704   -1.0
0.440 0.554 0.867 0.942   1.0
0.684 0.671 0.070 0.613   1.0
0.919 0.134 0.326 0.916   1.0
0.301 0.921 0.793 0.614   1.0
0.418 0.924 0.118 0.655   1.0
0.627 0.928 0.566 0.931   1.0
0.462 0.371 0.186 0.329   -1.0
0.306 0.014 0.985 0.377   -1.0
0.506 0.295 0.761 0.833   1.0
0.416 0.134 0.132 0.209   -1.0
